workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B0,1,1170,4,400,620848,0,0.0,620848,38635,0,1166,0,86,0,6256,1552.1,0.56
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B0,1,1170,16,400,620848,0,0.0,620848,38641,389,1161,0,86,0,6256,1552.1,0.71
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B0,2,2340,4,400,620848,0,0.0,620848,37465,0,2336,0,86,0,6448,1552.1,0.86
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B0,2,2340,16,400,620848,0,0.0,620848,37477,0,2324,0,86,0,6448,1552.1,1.01
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B0,4,4681,4,400,620848,0,0.0,620848,35124,0,4677,0,86,0,7024,1552.1,1.16
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B0,4,4681,16,400,620848,0,0.0,620848,35136,0,4665,0,86,0,7024,1552.1,1.3
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B1,1,1170,4,400,620848,17664,2.85,603184,37531,0,1166,0,86,0,6256,1552.1,0.2
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B1,1,1170,16,400,620848,17536,2.82,603312,37545,389,1161,0,86,0,6256,1552.1,0.35
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B1,2,2340,4,400,620848,31840,5.13,589008,35475,0,2336,0,86,0,6448,1552.1,0.5
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B1,2,2340,16,400,620848,31648,5.1,589200,35499,0,2324,0,86,0,6448,1552.1,0.66
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B1,4,4681,4,400,620848,40000,6.44,580848,32624,0,4677,0,86,0,8000,1552.1,0.81
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B1,4,4681,16,400,620848,39936,6.43,580912,32640,0,4665,0,86,0,8000,1552.1,0.96
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B2,1,1170,4,400,620848,37632,6.06,583216,36283,0,1166,0,86,0,6256,1552.1,0.21
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B2,1,1170,16,400,620848,37552,6.05,583296,36295,388,1161,0,86,0,6256,1552.1,0.36
